speedup 10000.00
duration 100000
DEBUG: 0.000555 barber goes to sleep
DEBUG: 0.003454 customer 1 enters shop
DEBUG: 0.003471 barber wakes up
DEBUG: 0.003472 customer 1 starts haircut
DEBUG: 0.003476 customer 5 enters shop
DEBUG: 0.003481 customer 6 enters shop
DEBUG: 0.003486 customer 7 enters shop
DEBUG: 0.003492 customer 0 enters shop
DEBUG: 0.003496 customer 9 enters shop
DEBUG: 0.003501 customer 8 enters shop
DEBUG: 0.003504 customer 8 leaves shop
DEBUG: 0.004048 customer 4 enters shop
DEBUG: 0.004056 customer 4 leaves shop
DEBUG: 0.005857 customer 8 enters shop
DEBUG: 0.005863 customer 8 leaves shop
DEBUG: 0.006260 customer 4 enters shop
DEBUG: 0.006265 customer 4 leaves shop
DEBUG: 0.008483 customer 3 enters shop
DEBUG: 0.008513 customer 3 leaves shop
DEBUG: 0.008528 customer 4 enters shop
DEBUG: 0.008531 customer 4 leaves shop
DEBUG: 0.008536 customer 8 enters shop
DEBUG: 0.008538 customer 8 leaves shop
DEBUG: 0.011447 customer 2 enters shop
DEBUG: 0.011466 customer 2 leaves shop
DEBUG: 0.011475 customer 3 enters shop
DEBUG: 0.011478 customer 3 leaves shop
DEBUG: 0.011482 customer 8 enters shop
DEBUG: 0.011484 customer 8 leaves shop
DEBUG: 0.012418 customer 4 enters shop
DEBUG: 0.012428 customer 4 leaves shop
DEBUG: 0.014371 customer 3 enters shop
DEBUG: 0.014381 customer 3 leaves shop
DEBUG: 0.014393 customer 8 enters shop
DEBUG: 0.014395 customer 8 leaves shop
DEBUG: 0.015341 customer 4 enters shop
DEBUG: 0.015345 customer 4 leaves shop
DEBUG: 0.016328 customer 2 enters shop
DEBUG: 0.016331 customer 2 leaves shop
DEBUG: 0.017302 customer 3 enters shop
DEBUG: 0.017306 customer 3 leaves shop
DEBUG: 0.017311 customer 8 enters shop
DEBUG: 0.017312 customer 8 leaves shop
DEBUG: 0.018312 customer 4 enters shop
DEBUG: 0.018315 customer 4 leaves shop
DEBUG: 0.018667 customer 2 enters shop
DEBUG: 0.018671 customer 2 leaves shop
DEBUG: 0.019497 customer 3 enters shop
DEBUG: 0.019502 customer 3 leaves shop
DEBUG: 0.019508 customer 8 enters shop
DEBUG: 0.019509 customer 8 leaves shop
DEBUG: 0.021320 customer 2 enters shop
DEBUG: 0.021329 customer 2 leaves shop
DEBUG: 0.021337 customer 4 enters shop
DEBUG: 0.021338 customer 4 leaves shop
DEBUG: 0.021710 customer 3 enters shop
DEBUG: 0.021714 customer 3 leaves shop
DEBUG: 0.021718 customer 8 enters shop
DEBUG: 0.021719 customer 8 leaves shop
DEBUG: 0.024347 customer 2 enters shop
DEBUG: 0.024351 customer 2 leaves shop
